Id,SalePrice
1461,120876.21
1462,163904.47
1463,190133.61
1464,191059.7
1465,175117.19
1466,176074.56
1467,179621.66
1468,168155.64
1469,192019.98
1470,123694.69
1471,198651.14
1472,95341.86
1473,97017.44
1474,149736.11
1475,120645.19
1476,366439.34
1477,253002.22
1478,293393.97
1479,250662.3
1480,507074.7
1481,335562.4
1482,205532.08
1483,175538.89
1484,164292.44
1485,171848.9
1486,194797.55
1487,365483.75
1488,237556.2
1489,220979.72
1490,215507.97
1491,189297.0
1492,91150.484
1493,192809.4
1494,285322.84
1495,297461.7
1496,247718.84
1497,180015.39
1498,160798.83
1499,157855.4
1500,148813.9
1501,176762.19
1502,136189.44
1503,300237.9
1504,242462.08
1505,233908.7
1506,195230.89
1507,247644.2
1508,210220.02
1509,171346.5
1510,148567.89
1511,148923.66
1512,167183.27
1513,144661.19
1514,149132.44
1515,201072.92
1516,147091.27
1517,159666.5
1518,137926.67
1519,222335.56
1520,136663.42
1521,138295.33
1522,168234.08
1523,114485.22
1524,124634.17
1525,128140.59
1526,113997.56
1527,101264.164
1528,134909.16
1529,153927.61
1530,168115.06
1531,105473.05
1532,99306.96
1533,140818.02
1534,123973.05
1535,149062.19
1536,108298.914
1537,82040.484
1538,156421.86
1539,183535.6
1540,80999.36
1541,143077.33
1542,142091.89
1543,234775.16
1544,82230.59
1545,108122.445
1546,130167.08
1547,138111.08
1548,140581.05
1549,116757.375
1550,141856.42
1551,120692.6
1552,133911.12
1553,147194.67
1554,119597.35
1555,166017.23
1556,87108.63
1557,105991.336
1558,89667.44
1559,81417.1
1560,124382.56
1561,136315.61
1562,126512.63
1563,118379.42
1564,151226.75
1565,144969.17
1566,234610.42
1567,71481.55
1568,226099.53
1569,126146.016
1570,132822.14
1571,119200.63
1572,145130.05
1573,248350.89
1574,102100.836
1575,222815.7
1576,228515.28
1577,196276.33
1578,159526.78
1579,150258.53
1580,193680.73
1581,149824.97
1582,131092.69
1583,333736.25
1584,227813.53
1585,140619.27
1586,73971.44
1587,97235.2
1588,157296.53
1589,99319.086
1590,131825.47
1591,97049.266
1592,115819.82
1593,131698.19
1594,135927.33
1595,106514.2
1596,255567.4
1597,179911.73
1598,198353.94
1599,171711.61
1600,173100.62
1601,64100.76
1602,110150.086
1603,77171.1
1604,275105.0
1605,250737.84
1606,166948.27
1607,166241.11
1608,213956.72
1609,186381.06
1610,155261.12
1611,142458.1
1612,167253.12
1613,160353.81
1614,118505.25
1615,79674.71
1616,68616.984
1617,87470.92
1618,127324.31
1619,137701.39
1620,180773.39
1621,138452.11
1622,142619.31
1623,284913.34
1624,201489.08
1625,133225.19
1626,171403.53
1627,197168.4
1628,273754.28
1629,185309.86
1630,370179.03
1631,220043.89
1632,231961.84
1633,167385.25
1634,187410.56
1635,185176.12
1636,160348.9
1637,207855.1
1638,187739.36
1639,182955.4
1640,266711.34
1641,180518.77
1642,223787.0
1643,230584.67
1644,226625.62
1645,196451.98
1646,163622.11
1647,159334.45
1648,132974.36
1649,137749.08
1650,110241.83
1651,120994.55
1652,93656.63
1653,93493.414
1654,153017.53
1655,144256.98
1656,145046.75
1657,153739.97
1658,139418.81
1659,133734.38
1660,150264.11
1661,473548.38
1662,436918.16
1663,399348.47
1664,207830.72
1665,306395.0
1666,324068.8
1667,374597.6
1668,322753.06
1669,304211.6
1670,343309.44
1671,254352.16
1672,445638.84
1673,296097.47
1674,259825.58
1675,192946.44
1676,195045.72
1677,230877.77
1678,452062.6
1679,386347.1
1680,348257.16
1681,258160.83
1682,310493.7
1683,173112.84
1684,172356.39
1685,175994.66
1686,166912.45
1687,166121.77
1688,186039.58
1689,192547.73
1690,190261.3
1691,177501.75
1692,269399.1
1693,160573.1
1694,184775.67
1695,169587.83
1696,274888.88
1697,171099.77
1698,377832.03
1699,328967.84
1700,234961.06
1701,267263.88
1702,236493.58
1703,249735.55
1704,291731.62
1705,235392.81
1706,436261.53
1707,226038.52
1708,220087.55
1709,289264.03
1710,227370.31
1711,255826.38
1712,279338.94
1713,279693.75
1714,221912.31
1715,218105.28
1716,194148.98
1717,176468.44
1718,133374.17
1719,193924.34
1720,246479.31
1721,168934.08
1722,117500.195
1723,152151.86
1724,203027.36
1725,228249.34
1726,184702.39
1727,151114.44
1728,179274.77
1729,167541.11
1730,161186.5
1731,126486.086
1732,133913.42
1733,112240.47
1734,120949.664
1735,134989.47
1736,115626.69
1737,348522.62
1738,207554.81
1739,248594.48
1740,218250.52
1741,188885.12
1742,170615.83
1743,174982.47
1744,305922.56
1745,210423.0
1746,174649.2
1747,219497.5
1748,218441.27
1749,155490.52
1750,130602.04
1751,237871.55
1752,113596.34
1753,144958.11
1754,198932.86
1755,172241.53
1756,133122.19
1757,123033.734
1758,148298.78
1759,160996.77
1760,167654.6
1761,131116.95
1762,177060.98
1763,176325.61
1764,114438.39
1765,167469.88
1766,177535.94
1767,205332.25
1768,144177.36
1769,184198.6
1770,150786.8
1771,128536.17
1772,137699.83
1773,135749.86
1774,131302.14
1775,147673.16
1776,127580.78
1777,118401.664
1778,141632.03
1779,113347.99
1780,187883.72
1781,131857.16
1782,92692.35
1783,140172.47
1784,105754.46
1785,124368.33
1786,150429.72
